prcp,tmean,DEM,Silt_100cm,Clay_100cm
1232.578979,12.19110489,37.20402145,5.357392311,5.708815575
1084.578979,19.59998131,102.8741837,22.44031143,28.78806305
1367.026367,19.99064064,39.24163055,4.610592842,5.622934818
599.4473877,8.716948509,1930.2854,33.90688324,31.62835503
376.8421021,7.607727528,1159.720825,37.09421539,23.01799774
441.6578979,7.69430685,1961.572388,30.14444351,24.84426117
1265.447388,15.25627041,12.44849968,29.17300797,30.10268974
1117.342163,14.86237907,261.6594543,32.7442627,22.33397675
1539.105225,16.66268539,102.6690521,42.42002106,24.89862251
1235.026367,15.1712389,20.48881531,24.35655022,21.76396942
589.3684082,20.05815506,461.0069885,37.79145813,31.23562813
554.7105103,15.73077679,861.6218872,26.33516884,24.63471031
716.1315918,19.38871002,296.0334473,18.41147804,30.85638237
1612.105225,14.32525253,287.7741699,52.87453842,26.52564621
919.7105103,19.63542747,223.7353973,41.617939,46.08347702
1162.473633,16.25661469,191.0051117,30.62516022,22.7845726
787.9473877,9.064596176,2288.743408,30.312397,31.03673172
1247.052612,18.62459183,104.0357361,36.31909943,21.81855011
1452.578979,19.22395706,51.36096573,12.74343491,24.18181801
740.4736938,5.300497055,1978.064697,32.20063782,29.36858368
1218.526367,18.54524422,26.69321251,11.52332401,16.42718124
249,21.75083733,641.8928223,18.58383751,13.54554653
1039.894775,12.99436188,325.7218933,53.96556473,36.78466415
1245.368408,19.07062149,19.04645157,7.735904694,8.747841835
363.8157959,10.77045441,1831.699097,33.74260712,32.20275497
1299.552612,20.16173172,4.826378345,14.43774128,18.85215759
812.6315918,17.53522873,470.421936,29.52121162,39.10192871
1460.105225,18.30928421,57.99091721,37.96602631,47.87869644
597.8421021,3.584656715,1703.754639,32.01404953,18.59366417
1493.631592,16.98590469,164.1974335,38.46795654,29.88462257
1512.105225,7.686567307,820.536438,33.60073471,23.04481316
1223.894775,17.12957954,149.6044006,15.70563984,27.91485023
1226.894775,11.63125229,1374.09729,38.59580994,19.31047821
766.5,21.0621357,160.4424896,18.14921951,30.55399323
985.8421021,18.68867493,225.6847076,21.02332306,31.07098389
359.7368469,9.652864456,2059.254395,15.26170826,13.73305702
197.6315765,11.58075142,2197.830078,22.63875008,14.73691463
375.2631531,16.24654961,1569.949829,33.36933136,30.80091858
387.2105408,6.040548801,2102.312256,17.20201874,19.94646454
509.578949,7.302484989,2161.273438,36.08402252,23.18714523
657.1578979,2.319751501,2548.077637,25.87272644,20.69834709
431.1052551,11.10892391,1806.76062,28.94049644,45.04876328
1348.210571,18.69293404,88.40984344,7.566666603,8.448025703
1466.315796,14.67098808,162.1806641,52.64205551,26.31441689
1466.894775,19.17004585,102.2507095,14.82387447,17.91166115
1431.973633,17.69395065,64.84669495,18.88907433,21.74308014
1366.473633,18.27965736,157.3075256,12.75096416,27.26225853
571.6315918,9.666593552,634.2734985,13.44003677,8.30624485
957.6842041,16.78100014,293.994873,21.89981651,24.61698723
923.6315918,18.16742134,246.0970154,26.26097298,22.27153397
502.3421021,13.71547604,798.7927856,18.10330582,11.4951334
1206.578979,16.43357658,172.320694,52.58732605,33.12258911
555.2631836,5.103056431,1749.457886,39.06832123,22.60807991
392.4736938,9.009778023,2069.656982,25.23360825,21.33140564
1352.710571,11.91786575,497.8031311,34.93917084,25.82202721
1028.105225,18.82871628,153.5897827,19.43645477,38.13149643
639.0789185,13.2829237,282.6724243,43.34476852,33.32662201
677.3421021,14.07325459,564.1158447,35.79100037,18.80661201
1225.210571,16.0617218,99.45656586,29.34572983,19.745821
807.7368164,3.246370792,2298.735596,42.6729126,23.90278244
1459.578979,20.45319557,13.27463436,2.219926596,2.172543764
880.3684082,18.51819038,234.5607452,30.09403229,45.17465591
568.2631836,3.999198675,2622.442139,38.01432419,21.62121201
795.3421021,17.78927422,652.0033569,37.4407692,50.78227615
1060.263184,20.24584007,71.93057251,20.8364563,25.1623497
1165.184204,12.13475037,244.8413086,38.56354523,32.76602554
366.2368469,8.135939598,1031.195068,35.63737488,24.82396698
1652.026367,19.10510635,91.5304718,8.74022007,9.890266418
1405.184204,17.15231705,6.356323242,6.401469231,9.529660225
970.5,19.69662285,112.9337692,22.72130394,31.16666603
