x,y,prcp,tmean,DEM,SDV_100cm,Silt_100cm,Clay_100cm
-163554,396960,633,23.07731438,7.348738194,1.321303964,11.75454521,14.09954071
1056446,1030960,1361.921021,18.38672829,143.2167664,0.101928376,13.38145065,31.53195572
438446,1726960,1130.605225,12.93540573,200.5640564,0.177039847,52.85493469,39.15853882
-1215554,2597960,698.0263062,2.347987652,1952.746948,0.104224063,24.59146118,13.02203846
184446,1174960,1336.789429,17.36296272,83.2677002,0.369146019,41.05059814,48.58585739
-168554,1096960,936.2894897,17.79368973,334.0336609,0.379797995,17.87970543,28.90808105
1412446,679960,1360.631592,22.68134689,35.73733902,0.312256277,1.138718724,2.263973951
-2004554,2563960,767.2631836,4.472968102,1841.697998,0.009182736,18.03067017,4.825528145
-79554,870960,945.0263062,19.81079865,103.5423737,0.88429755,13.64306736,29.32378387
-33554,989960,1060.578979,18.96996498,109.7270813,1.14582181,22.98925591,35.17318726
1300446,903960,1368.973633,20.25624084,39.0480957,0.100000001,2.297520638,4.395959377
-972554,1460960,416.1052551,8.388951302,2611.434814,0.878787875,20.00082588,7.826446056
-976554,1594960,539.5526123,7.379045486,2315.760498,0.145638198,17.53388405,25.92837524
1149446,999960,1294.578979,18.97019577,101.8779526,0.954820931,8.488981247,15.56308556
139446,871960,1449.210571,19.2784481,85.24893188,0.565013766,11.24582195,11.84765816
370446,1195960,1419.342163,17.16036606,46.49672699,0.255096406,53.47777557,24.66161728
-1167554,2760960,435.8421021,6.434690475,1505.352905,0.466483027,38.82029343,19.31864166
-947554,2650960,415.2631531,7.289152622,1198.792603,2.975114822,36.75748444,25.30330658
-1554554,2274960,541.7631836,5.634194374,1931.456055,0.019100092,32.51955795,32.19448853
464446,956960,1602.157837,18.43412018,124.9403534,0.025987145,42.80156326,20.5667572
50446,2720960,700.8947144,3.934100389,478.5671997,0.004132232,33.44453812,23.26363754
-149554,1291960,960.8157959,16.50022888,351.8000793,0.07346189,21.15766716,20.58980751
-1012554,1821960,445.421051,8.160411835,1988.426392,0.888154268,36.63764954,24.90045929
-885554,1098960,501.5263062,11.44621468,2064.046143,1.275114775,41.91974258,23.33581352
-952554,2798960,341.1842041,7.668174267,790.3424683,1.278053284,30.7905426,52.15188217
192446,1385960,1250.052612,15.83443165,167.375061,0.128007352,40.98356247,23.78530884
878446,2483960,951.2105103,6.244355202,370.2452393,0.034935303,8.556284904,4.936968327
-1083554,1914960,514,4.858648777,2370.991943,1.179338813,36.42231369,23.37998199
38446,1515960,1098.526367,14.99819756,195.2185822,1,63.04302979,26.8427887
970446,2430960,834.4473877,7.021604061,236.1547089,0.139669418,9.533149719,6.832965851
-1100554,2686960,373.3421021,6.238508224,1650.862671,0.395316809,34.06584167,24.66923714
1328446,1033960,1254.842163,19.60666656,14.19181824,0.00599631,13.51743603,20.3793354
718446,1385960,1488.894775,15.29921246,159.6708374,0.003165736,46.21992493,31.12141418
331446,1381960,1358.763184,15.31033897,227.4925842,0.06666667,31.80954933,21.06372833
-64554,1434960,995.4473877,15.75392532,262.4981079,0.258584917,47.20150757,38.32245255
1076446,1020960,1317.315796,18.71984482,94.42049408,0.725024819,14.59592819,25.92274094
39446,1023960,1157.5,18.6372776,154.1121674,0.149626166,17.40897179,26.96476555
-275554,1002960,802.3684082,17.61394882,510.7047119,0.374563813,24.73324203,25.8475666
-891554,2340960,495.9473572,3.533808708,2236.324219,0.315426975,34.72038651,30.57961464
-1785554,2995960,319.078949,9.876853943,649.3473511,0.008595195,24.16802216,9.798983574
-1405554,3016960,649.1842041,6.457477093,801.0231323,0.622130394,37.98806381,19.27676773
450446,867960,1682.052612,19.39337349,32.89628601,0.278420568,70.81257629,19.26694298
634446,986960,1517.105225,18.20705986,90.07169342,0.716096222,25.24449539,19.63968468
-813554,1688960,469.3157959,6.172410011,2475.719238,0.504499555,24.81294632,18.09862328
-238554,1416960,792.2105103,15.22896862,465.4663391,0.486134052,16.17832947,8.945087433
406446,1386960,1393.894775,15.55716324,136.6853485,0.130578518,42.69200897,22.52617073
-1557554,1814960,421.1842041,7.478624344,2222.880371,0.060789715,32.65004349,30.84315872
-261554,535960,595.7894897,22.13231277,163.4683685,1.188613415,34.38457489,22.88365364
-1728554,1944960,259.6052551,8.122490883,2146.441406,0.536271811,27.02203941,19.85867691
1133446,1045960,1227.947388,18.78606796,79.8434906,0.619866908,9.11720562,13.04695797
123446,802960,1475.131592,20.00624466,30.32284737,0.67511481,44.7674942,41.78053284
-1751554,2070960,341.8157959,7.90703249,2106.395752,0.253627181,33.17823792,36.14775085
-849554,1159960,411,12.87092781,1738.475586,1.048209429,37.59531784,23.13388443
888446,1044960,1392.605225,18.29787064,72.09583282,0.818173349,25.72618866,32.76346588
-8554,1132960,1132.710571,17.71767807,184.5320129,0.998714387,26.20220375,53.63866043
